total_simulation_replications,pareto_set_size,TB_obj_1_range,TB_obj_2_range,TB_obj_3_range,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,1,"(48.78955, 48.78955)","(2.3342999999999994, 2.3342999999999994)","(9.550341666666666, 9.550341666666666)",False,1,83202_00005,2024-01-22_14-41-17,1705952477,30.164398431777954,30.164398431777954,111445,d0133,10.99.101.133,30.164398431777954,1
120,1,"(48.78955, 48.78955)","(2.3342999999999994, 2.3342999999999994)","(9.550341666666666, 9.550341666666666)",False,2,83202_00005,2024-01-22_14-41-17,1705952477,0.03025507926940918,30.194653511047363,111445,d0133,10.99.101.133,30.194653511047363,2
120.0,1,"(48.78955, 48.78955)","(2.3342999999999994, 2.3342999999999994)","(9.550341666666666, 9.550341666666666)",False,3,83202_00005,2024-01-22_14-41-17,1705952477,0.030191898345947266,30.22484540939331,111445,d0133,10.99.101.133,30.22484540939331,3
120.0,1,"(48.78955, 48.78955)","(2.3342999999999994, 2.3342999999999994)","(9.550341666666666, 9.550341666666666)",False,4,83202_00005,2024-01-22_14-41-17,1705952477,0.030188322067260742,30.25503373146057,111445,d0133,10.99.101.133,30.25503373146057,4
120.0,1,"(48.78955, 48.78955)","(2.3342999999999994, 2.3342999999999994)","(9.550341666666666, 9.550341666666666)",False,5,83202_00005,2024-01-22_14-41-17,1705952477,0.029641389846801758,30.284675121307373,111445,d0133,10.99.101.133,30.284675121307373,5
120.0,1,"(48.78955, 48.78955)","(2.3342999999999994, 2.3342999999999994)","(9.550341666666666, 9.550341666666666)",False,6,83202_00005,2024-01-22_14-41-17,1705952477,0.029765605926513672,30.314440727233887,111445,d0133,10.99.101.133,30.314440727233887,6
120.0,1,"(48.78955, 48.78955)","(2.3342999999999994, 2.3342999999999994)","(9.550341666666666, 9.550341666666666)",False,7,83202_00005,2024-01-22_14-41-17,1705952477,0.029346942901611328,30.343787670135498,111445,d0133,10.99.101.133,30.343787670135498,7
120.0,1,"(48.78955, 48.78955)","(2.3342999999999994, 2.3342999999999994)","(9.550341666666666, 9.550341666666666)",False,8,83202_00005,2024-01-22_14-41-17,1705952477,0.029488325119018555,30.373275995254517,111445,d0133,10.99.101.133,30.373275995254517,8
120.0,1,"(48.78955, 48.78955)","(2.3342999999999994, 2.3342999999999994)","(9.550341666666666, 9.550341666666666)",False,9,83202_00005,2024-01-22_14-41-17,1705952477,0.029590606689453125,30.40286660194397,111445,d0133,10.99.101.133,30.40286660194397,9
120.0,1,"(48.78955, 48.78955)","(2.3342999999999994, 2.3342999999999994)","(9.550341666666666, 9.550341666666666)",False,10,83202_00005,2024-01-22_14-41-17,1705952477,0.02959275245666504,30.432459354400635,111445,d0133,10.99.101.133,30.432459354400635,10
120.0,1,"(48.78955, 48.78955)","(2.3342999999999994, 2.3342999999999994)","(9.550341666666666, 9.550341666666666)",False,11,83202_00005,2024-01-22_14-41-17,1705952477,0.029636383056640625,30.462095737457275,111445,d0133,10.99.101.133,30.462095737457275,11
120.0,1,"(48.78955, 48.78955)","(2.3342999999999994, 2.3342999999999994)","(9.550341666666666, 9.550341666666666)",False,12,83202_00005,2024-01-22_14-41-17,1705952477,0.029996156692504883,30.49209189414978,111445,d0133,10.99.101.133,30.49209189414978,12
120.0,1,"(48.78955, 48.78955)","(2.3342999999999994, 2.3342999999999994)","(9.550341666666666, 9.550341666666666)",False,13,83202_00005,2024-01-22_14-41-17,1705952477,0.02979445457458496,30.521886348724365,111445,d0133,10.99.101.133,30.521886348724365,13
120.0,1,"(48.78955, 48.78955)","(2.3342999999999994, 2.3342999999999994)","(9.550341666666666, 9.550341666666666)",False,14,83202_00005,2024-01-22_14-41-17,1705952477,0.030453920364379883,30.552340269088745,111445,d0133,10.99.101.133,30.552340269088745,14
120.0,1,"(48.78955, 48.78955)","(2.3342999999999994, 2.3342999999999994)","(9.550341666666666, 9.550341666666666)",False,15,83202_00005,2024-01-22_14-41-17,1705952477,0.03022599220275879,30.582566261291504,111445,d0133,10.99.101.133,30.582566261291504,15
120.0,1,"(48.78955, 48.78955)","(2.3342999999999994, 2.3342999999999994)","(9.550341666666666, 9.550341666666666)",False,16,83202_00005,2024-01-22_14-41-18,1705952478,0.03018784523010254,30.612754106521606,111445,d0133,10.99.101.133,30.612754106521606,16
120.0,1,"(48.78955, 48.78955)","(2.3342999999999994, 2.3342999999999994)","(9.550341666666666, 9.550341666666666)",False,17,83202_00005,2024-01-22_14-41-18,1705952478,0.030281543731689453,30.643035650253296,111445,d0133,10.99.101.133,30.643035650253296,17
